,country_name,country_code,2005,2007,2008,2010,2012,2014,continent,sub_region,median_avg,pre_financial,post_financial,recovered_yr,recovered_yr_2014
83,Japan,JPN,4.45,3.89,4.0,5.1,4.36,3.6,Asia,Eastern Asia,3.94,-0.4500000000000002,-1.0999999999999996,-0.3600000000000003,0.3999999999999999
84,Jordan,JOR,14.8,13.1,12.7,12.5,12.2,11.9,Asia,Western Asia,12.9,-2.1000000000000014,0.1999999999999993,0.5,0.7999999999999989
85,Kazakhstan,KAZ,8.13,7.26,6.63,5.77,5.29,5.06,Asia,Central Asia,6.94,-1.5000000000000009,0.8600000000000003,1.3399999999999999,1.5700000000000003
86,Kenya,KEN,2.92,2.89,2.92,2.84,2.83,2.8,Africa,Eastern Africa,2.9,0.0,0.08000000000000007,0.08999999999999986,0.1200000000000001
87,"Korea, Dem. People's Rep.",PRK,2.84,2.82,2.77,2.71,2.81,2.74,Asia,Eastern Asia,2.8,-0.06999999999999984,0.06000000000000005,-0.040000000000000036,0.029999999999999805
88,"Korea, Rep.",KOR,3.48,3.01,2.96,3.32,2.81,3.08,Asia,Eastern Asia,2.98,-0.52,-0.3599999999999999,0.1499999999999999,-0.1200000000000001
89,Kuwait,KWT,1.5,1.5,1.75,1.82,2.32,2.9,Asia,Western Asia,1.62,0.25,-0.07000000000000006,-0.5699999999999998,-1.15
90,Kyrgyz Republic,KGZ,8.11,8.1,8.22,8.64,8.43,8.05,Asia,Central Asia,8.16,0.11000000000000121,-0.41999999999999993,-0.20999999999999908,0.16999999999999993
91,Lao PDR,LAO,1.35,1.1,0.97,0.71,0.74,0.76,Asia,South-Eastern Asia,1.04,-0.3800000000000001,0.26,0.22999999999999998,0.20999999999999996
92,Latvia,LVA,10.03,6.05,7.74,19.48,15.05,10.85,Europe,Northern Europe,6.9,-2.289999999999999,-11.74,-7.3100000000000005,-3.1099999999999994
93,Lebanon,LBN,8.28,8.98,7.67,6.84,7.85,8.81,Asia,Western Asia,8.32,-0.6099999999999994,0.8300000000000001,-0.17999999999999972,-1.1400000000000006
